ViewID	SpeciesID	SubspeciesID	Family	Mnemonic	Genus	SpeciesName	Rank	Subspecies	Authority	IDLevel	subspMnemonic	subspAuthority	FieldFamily	Lifeform	Description	wsg	wsglevel	ListOfOldNames	Specimens	Reference
96	151	NULL	Sapotaceae	MIRGAR	Micropholis	garciniifolia	NULL	NULL	Pierre	species	NULL	NULL	Sapotaceae	NULL	NULL	0.67	species	NULL	NULL	NULL
97	152	NULL	Myrsinaceae	MYRCOR	Myrsine	coriacea	NULL	NULL	(Sw.) R. Br. ex Roem. & Schult.	species	NULL	NULL	Myrsinaceae	NULL	NULL	0.643556	species	NULL	NULL	NULL
98	153	NULL	Myrtaceae	MYRDEF	Myrcia	deflexa	NULL	NULL	(Poir.) DC.	species	NULL	NULL	Myrtaceae	NULL	NULL	0.8	species	NULL	NULL	NULL
99	154	NULL	Myrtaceae	MYRFAL	Myrcia	fallax	NULL	NULL	(Rich.) D.C.	species	NULL	NULL	Myrtaceae	NULL	NULL	0.885141	species	NULL	NULL	NULL
100	155	NULL	Myrtaceae	MYRLEP	Myrcia	amazonica	NULL	NULL	DC.	species	NULL	NULL	Myrtaceae	NULL	NULL	0.814458	genus	NULL	NULL	NULL
101	156	NULL	Myrtaceae	MYRSPL	Myrcia	splendens	NULL	NULL	(Sw.) DC.	species	NULL	NULL	Myrtaceae	NULL	NULL	0.76777	species	NULL	NULL	NULL
102	157	NULL	Asteraceae	NEULOB	Neurolaena	lobata	NULL	NULL	(L.) Cass.	species	NULL	NULL	Asteraceae	NULL	NULL	0.636096	family	NULL	NULL	NULL
103	158	NULL	Malvaceae	OCHPYR	Ochroma	pyramidale	NULL	NULL	(Cav. Ex Lam.) Urb.	species	NULL	NULL	Malvaceae	NULL	NULL	0.158128	species	NULL	NULL	NULL
104	159	NULL	Lauraceae	OCOFLO	Ocotea	floribunda	NULL	NULL	(Sw.) Mez	species	NULL	NULL	Lauraceae	NULL	NULL	0.401425	species	NULL	NULL	NULL
105	160	NULL	Lauraceae	OCOGLO	Nectandra	hihua	NULL	NULL	(Ruiz & Pav.) Rohwer	species	NULL	NULL	Lauraceae	NULL	NULL	0.57169	genus	NULL	NULL	NULL
106	161	NULL	Lauraceae	OCOLEU	Ocotea	leucoxylon	NULL	NULL	(Sw.) Laness.	species	NULL	NULL	Lauraceae	NULL	NULL	0.46175	species	NULL	NULL	NULL
107	162	NULL	Lauraceae	OCOMOS	Ocotea	moschata	NULL	NULL	(Meisn) Mez.	species	NULL	NULL	Lauraceae	NULL	NULL	0.595333	species	NULL	NULL	NULL
108	163	NULL	Lauraceae	OCOPOR	Ocotea	portoricensis	NULL	NULL	Mez	species	NULL	NULL	Lauraceae	NULL	NULL	0.59	species	NULL	NULL	NULL
109	164	NULL	Lauraceae	OCOSIN	Nectandra	turbacensis	NULL	NULL	(Knuth) Nees	species	NULL	NULL	Lauraceae	NULL	NULL	0.57169	genus	NULL	NULL	NULL
110	165	NULL	Lauraceae	OCOSPA	Ocotea	spathulata	NULL	NULL	Mez	species	NULL	NULL	Lauraceae	NULL	NULL	0.620759	species	NULL	NULL	NULL
111	166	NULL	Fabaceae-papilionoideae	ORMKRU	Ormosia	krugii	NULL	NULL	Urb.	species	NULL	NULL	Fabaceae	NULL	NULL	0.491429	species	NULL	NULL	NULL
112	167	NULL	Annonaceae	OXALAU	Oxandra	laurifolia	NULL	NULL	(Sw.) A. Rich.	species	NULL	NULL	Annonaceae	NULL	NULL	0.588845	species	NULL	NULL	NULL
113	168	NULL	Rubiaceae	PALCRO	Palicourea	crocea	NULL	NULL	(Sw.)Schult	species	NULL	NULL	Rubiaceae	NULL	NULL	0.52667	genus	NULL	NULL	NULL
